id,status_legacy,project_date,started_on,won_on,last_contact_on,proposal_sent_on,concept,services_array,budget_notes,location_text,next_steps,budget_low,budget_high,status
2facd53c-3d97-474f-86b4-4c4acbb1c7ad,Complete,10/15/2025,4/7/2025,5/5/2025,9/24/2025,10/21/2025,Nothing Personal Launch Event,"[""Gifting""]",$53k,New York,"Intake Notes here. GD internal go-no-go with Sue & Alexandra. GD, 4/21",53000,53000,Closed Won
2ffe0855-8011-4c8e-a3bd-8cbc1e5f9ca2,Complete,12/2/2025,2/17/2025,4/29/2025,12/2/2025,10/7/2025,Shaken Nights Giving Tuesday Event,"[""Executive Production""]",$77.5K,New York,Team presented proposal on 10/08. SY 10/08,77500,77500,Closed Won
30432231-7cba-4316-948d-6f0a9d31a09f,Complete,5/17/2025,2/18/2025,2/28/2025,,5/18/2025,f&b focused event around National Restaraunt Association,"[""Executive Production""]",,Chicago,"Lori reached out via Typeform. GD setting up call. GD, 2/18",,,Closed Won
304af9d7-f1ea-4045-adce-5592fe24f294,Complete,5/14/24,,,,,DVF x LGR Launch Event,"[""Executive Production""]",,New York,Intake Notes here (FYI this shifted to a Power Lunch),,,Closed Won
31487e3c-79ac-4b5f-8a15-3c3d11ee5cea,Warm Lead,2026,7/10/2025,,11/13/2025,,National pop-up tour 2026,"[""Executive Production""]",Not disclosed,USA,SY reached out on 11/13 to see how tour is shaping up. SY 11/13 ,,,Initial Contact
31daef2d-40e8-4b61-a205-fd30e6451daf,Warm Lead,,9/1/2024,,9/1/2024,,Parea Dinner at Zion National Park,"[""Executive Production""]",,"October, Utah","Gaby sharing rough estimate, waiting to hear back on feedback. No word, so followed up - 8.26",,,Initial Contact
31ffab55-e929-49a3-8921-4da4ff47361c,Warm Lead,TBC 2026,7/15/2025,,11/10/2025,,New Opening Strategy,"[""Event Concepting"", ""Executive Production""]",Not disclosed,TBC,Conversations still on hold until Amex signs MSA agreement; Sofia is looking to reschedule Ext Hilton call prior to our winter break. JA 12/4,,,Initial Contact
3212e016-8ad1-4a9f-b4b2-673ba110f655,No-Go,1/1/2026,6/4/2025,,,,TBC,"[""Executive Production""]",,Austria,"CT wanted us to help them with a potential Mercedes event, but they are unclear on budget, so convo has been tabled. SY, 8/21",,,Initial Contact
3371cb4e-849e-40b2-8482-b30be144afd7,Complete,11/20/24,,,,,NY Flagship Opening,"[""Executive Production""]",,New York,"Intake Notes here - 7.8.24, PLEASE NOTE THIS IS AN RFP, GIG NOT WON YET",,,Closed Won
3396bd24-37ad-45b3-a69f-90046e1aeaad,Complete,03/18/2026,11/19/2025,1/27/2026,3/20/2026,1/27/2026,Made by NYC Salon Series - Cotinuation of series into 2026 for the Spring campaign + second magazine lauch,"[""Executive Production""]",$100k all in,New York,Project complete. SY 03/20,100000,100000,Closed Won
339bf41e-f5f1-4faa-b495-83e8e32ee958,Warm Lead,,1/17/2025,,1/17/2025,,Q1 & Q3 Launch Events + Talent Program,"[""Executive Production""]",,TBC,"Intake here, Samantha said she would follow up in two weeks to chat budget - 10/18",,,Initial Contact
341a25d7-66b6-4136-877a-60b4b587e7dd,Warm Lead,,7/1/2024,,7/1/2024,,TBD,"[""Executive Production""]",,TBD,"Elana reached out about an event in September 2024. We declined due to other projects, but Gaby trying to connect to chat 2025 - 7/31",,,Initial Contact
34408821-12c2-4ae0-bc5f-a67749f5d5ac,In Progress,Retainer,1/23/2025,5/1/2025,,,2025 Retainer Model,"[""Executive Production""]",,TBC,"GD and SC met with Holly to chat the full 2025 calendar. Holly wants to see what a retainer model would look like. GD working with Alexandra to organize next steps. GD, 1/15",,,Closed Won
348c5e55-5071-4682-9e5d-e4087da5e6ef,Warm Lead,,6/1/2024,,6/1/2024,,Hennessy Reimagines Program,"[""Executive Production""]",,"Tales of the Cocktail in NOLA, July 25
NY Activation in September","Sent proposal, waiting on go-no-go - 5.31",,,Initial Contact
3521294f-1a03-4724-9475-2d7bcd7eb2e1,No-Go,6/1/2025,6/29/2025,,8/11/2025,,PRIDE,"[""Executive Production""]",,TBC,"Could not take this on due to bandwidth, but keeping the door open for future opps. SY, 8/11",,,Declined by Us
35a3f3e9-a45b-4ee9-afe8-970456e5e473,Warm Lead,2026,10/10/2025,,11/13/2025,,"Perfect RTH client - interested in annual retainer to plan ~6 big events a year. In the short term, client asked if there was a way to pay CoC for help getting coveted reservations for company/client (4-50 PAX). ","[""Executive Production""]",Not disclosed,NY,Client is not ready to engage in long term programming retainer. Scheduling a call to circle back in Jan 2026. SY 11/13,,,Initial Contact
35cea6b5-2b42-4cfa-840a-b08835007383,Prospecting,2026,4/3/2025,,2/23/2026,,2026 planning,"[""Executive Production""]",Not disclosed,TBC,"Paperless Post is interested in partnering with Sue on a content program. Afoma sorting out details. GD, 2/23",,,Initial Contact
35fc2913-4a0e-4ac0-9f6d-172c6c40ffb1,Complete,6/1/24 - 8/31/24,,,,,$FLY Points Program,"[""Marketing""]",,"New York, Los Angeles, Charleston",Scope Completed,,,Closed Won
3650fda8-2bb0-48e7-a3b3-9562c2cbf239,No-Go,,,7/1/2024,7/1/2024,,TBD,"[""Executive Production""]",,TBD,"Erica reached out about helping out with a gifting initiative (they saw our work wtih Coach), but we didn't take on due to bandwidth. Gaby to check in during the Fall to chat about 2025 opps. 7/24",,,Declined by Us
37697f28-65bd-4df1-b7f4-26422a500cdf,Prospecting,2026,9/15/2025,,9/26/2025,,Jon & Vinny's/ Helen Wines x The Hundreds x Resy Party,"[""Programming""]","Not disclosed, but confirmed they can meet our minimum.",LA,"This didn't end up being an actual opp with Resy, so GD got tapped in. Waiting to hear back on Helen on budget. GD, 10/9",,,Initial Contact
